,,,,,,,,,,,,,,,,,
,Sl. No,Metric,Definition,,Status,Timeline,PoC,,Units,FY23,FY24,FY25,FY26,9MFY25,9MFY26,Source,Data limitations
,5,# New designs in Apparel,No. of Unique Style Ids launched ,Total number of unique style ID launched during the year in apparel category,,,,,#,,355,"1,013",1445,,,https://metabase.curefit.co/question/84486-apparel-new-launch-style-id,
,6,# New designs in Footwear,No. of Unique Style Ids launched ,Total number of unique style ID launched during the year in footwear category,,,,,#,,205,212,387,,,https://metabase.curefit.co/question/84487-footwear-new-launch-style-id,
,7,% imports in apparel business,Import % on the products ,Total of raw material imported for the apparel category divided by the total raw material purchased in the apparel category during the period / year.,,,,,%,,30%,7%,0%,,,https://drive.google.com/drive/folders/1UjY20nPNuVwRN4-Z7Ic81ZNfiJBdinWK,
,8,% imports in footwear business,Import % on the products ,Total of raw material imported for the footwear category divided by the total raw material purchased in the footwear category during the period / year.,,,,,%,,53%,0%,0%,,,https://drive.google.com/drive/folders/1UjY20nPNuVwRN4-Z7Ic81ZNfiJBdinWK,
,9,Product sales - Online vs Offline in FY25,% of Products sold online through D2C and 1P Channel ,"Product Sales (Online) - Total product sales through Company website, app, third party marketplaces divided by the total product sales during the period / year
 Product Sales (Offline) - All Product Sales less Product Sales (Online) during the period / year.",,,,,%,,76.55%,75.63%,75.31%,,,https://metabase.curefit.co/question/84661-online-channel-percentage,
,10,# Employees by function,,No. of Employees who were associated with the company in the [.] departent during the period / year.,,,,,,,,,,,,,
,11,Own Channel %,% of Products sold online through 1P Channel & EBO,Total product sales through Company website app and EBO stores,,,,,%,,,7.43%,23.90%,,,https://metabase.curefit.co/question/84661-online-channel-percentage,
,12,Cross sell rev as % of Products rev,Products Sales revenue generated from individuals with memberships (Live or Expired),Product Revenue from Paid members on own channel expressed as a % of total product revenue on own channel during the period / year.,,,,,%,,29.07%,32.37%,31.75%,,,https://metabase.curefit.co/question/84562-financial-year-wise-cross-sell-percentage,
,48,Referrals,Referral orders as a percentage of new orders during the relevant period/year.,Referral orders as a percentage of new orders during the relevant period/year.,Done,Done,,,%,,24%,29%,39%,,,https://metabase.curefit.co/question/72394-spot-offer-referral-discount-nce-orders,

,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Q FP ,Manufacturing - Substantitate <> For Fitness Products ,,,,,,,,,,,,,,,
,Q FP ,Use of Fitness Centers members inouts for FP Product Design ,,,,,,,,,,,,,,,
,Q FP ,Manufacturing Inspections and QC individual ,,,,,,,,,,,,,,,
,Q FP ,Market Research of Massagers before starting the product line - Abhilash,,,,,,,,,,,,,,,
,Q FP ,EBO Center Opening and Launch ,,,,,,,,,,,3 - 5 Months on average,,,,
