root_key,root_asset_id,root_asset_name,dashboard_id,dashboard_name,dashcard_id,card_id,card_name,dashboard_tab_id,row,col
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30835,66134,Active VS Expired GMV  Summary  – Last 12 Months,207,64,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30837,65637,EBO -  Cross Sell Market Size,294,61,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30985,63751,Age Wise Cross Sell,207,116,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,30986,63743,Gender Wise Cross Sell,207,123,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31831,68056,Article Type wise comparison,448,28,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31832,68058,Majority Service Type wise comparison,448,35,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31833,68061,Month Wise Membership Purchase Count,448,42,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31837,68051,Source wise comparison,448,70,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31834,68066,Membership Purchase Cohort Wise Count,448,49,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31828,68050,Platform wise comparison,448,7,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31830,68052,Category wise comparison,448,21,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31827,68059,Month Wise Revenue Comparison,448,0,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31835,68064,First Membership Purchase Count,448,56,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31836,68065,First Membership Purchase Cohort Wise Count,448,63,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,31829,68048,Cohort wise comparison,448,14,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,32526,70058,User Count FS VS D2C With Filters,418,0,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,32568,70149,EBO - Store Wise Cross Sell VS D2C,294,34,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33658,71753,No of users who used coupons,580,0,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33660,72319,No Of People Who Have Purchased Before Coupons,580,0,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33661,72323,No Of People Who Have Purchased another Item With Coupon,580,0,18
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33663,72382,Repeat Purchase Category User Count,580,3,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33662,72328,Coupon Article Type Wise User Count,580,3,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33664,72383,Coupon Article_Type Repeat Purchase_Category User Count With Average Values,580,12,0
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33665,72384,Coupon Article_Type Repeat Category  Month Wise User Count,580,12,12
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33659,71754,Repeat Count,580,0,6
dashboard-3604,3604,Cross Sell Dashboard,3604,Cross Sell Dashboard,33667,72385,Coupon Repeat Funnel,580,21,0
