source_row,normalized_source_url,asset_type,root_key,root_asset_id,root_asset_name,node_card_id,node_card_name,parent_card_id,recursion_depth,dependency_type,schema_name,object_name,normalized_object,derived_lineage_status,upstream_core_objects,evidence_status,notes,unresolved_reason
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,birthday_base,birthday_base,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,BASE,BASE,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
7,https://metabase.curefit.co/question/75630-gender-split?ed=2023-03-31,question,question-75630,75630,Gender Split,75630,Gender Split,,0,table,,GENDER_BASE,GENDER_BASE,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
8,https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31,question,question-83969,83969,12M Packs Sold Monthly Jun 2026,83969,12M Packs Sold Monthly Jun 2026,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv,,
8,https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31,question,question-83969,83969,12M Packs Sold Monthly Jun 2026,83969,12M Packs Sold Monthly Jun 2026,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|raw_csv,,
8,https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31,question,question-83969,83969,12M Packs Sold Monthly Jun 2026,83969,12M Packs Sold Monthly Jun 2026,,0,table,dwh_fitness_mart,orders_fact,dwh_fitness_mart.orders_fact,derived_model,dwh_fitness_mart.orders_fact,query_sql|metadata_json|raw_csv,,
8,https://metabase.curefit.co/question/83969-12m-packs-sold-monthly-jun-2026?Start_Date=2023-04-01&End_Date=2026-03-31,question,question-83969,83969,12M Packs Sold Monthly Jun 2026,83969,12M Packs Sold Monthly Jun 2026,,0,table,pk_curefitplatforms_membershipdb,memberships,pk_curefitplatforms_membershipdb.memberships,source_table,pk_curefitplatforms_membershipdb.memberships,query_sql|metadata_json|raw_csv,,Used for corrected transferred/upgraded pack date-source logic.
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,question-75647,75647,Same center vs other center,75647,Same center vs other center,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,question-75647,75647,Same center vs other center,75647,Same center vs other center,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,question-75647,75647,Same center vs other center,75647,Same center vs other center,,0,table,,base,base,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
9,https://metabase.curefit.co/question/75647-same-center-vs-other-center?Last_date=2026-02-09,question,question-75647,75647,Same center vs other center,75647,Same center vs other center,,0,table,dwh_fitness_mart,booking_fact,dwh_fitness_mart.booking_fact,source_table,dwh_fitness_mart.booking_fact,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,question-75650,75650,Same city vs other city - Modified,75650,Same city vs other city - Modified,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|result_blocked,,
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,question-75650,75650,Same city vs other city - Modified,75650,Same city vs other city - Modified,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|result_blocked,,
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,question-75650,75650,Same city vs other city - Modified,75650,Same city vs other city - Modified,,0,table,,base,base,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
10,https://metabase.curefit.co/question/75650-same-city-vs-other-city-modified?Last_date=2026-02-09,question,question-75650,75650,Same city vs other city - Modified,75650,Same city vs other city - Modified,,0,table,dwh_fitness_mart,booking_fact,dwh_fitness_mart.booking_fact,source_table,dwh_fitness_mart.booking_fact,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,,base,base,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,dwh_fitness_mart,booking_fact,dwh_fitness_mart.booking_fact,source_table,dwh_fitness_mart.booking_fact,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,dwh_fitness_mart,workout_dim,dwh_fitness_mart.workout_dim,derived_model,pk_cultprod_cultapp.cultemployee|pk_cultprod_cultapp.workout,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,dwh_fitness_mart,employee_dim,dwh_fitness_mart.employee_dim,derived_model,pk_cultprod_cultapp.center|pk_cultprod_cultapp.cultemployee|pk_cultprod_cultapp.employeehomecentermapping|pk_curefitplatforms_identitydb.identity|pk_curefitplatforms_watchmen.membership|pk_hrms_neo_cult.designation|pk_hrms_neo_cult.employee|pk_hrms_neo_cult.exit_details|pk_hrms_neo_cult.job_details,query_sql|metadata_json|result_blocked,,
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,cte,,all_sessions_df,all_sessions_df,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
11,https://metabase.curefit.co/question/75654-gx-formats?Last_date=2025-12-31,question,question-75654,75654,GX formats,75654,GX formats,,0,table,,User_classes,User_classes,unresolved,,query_sql|metadata_json|result_blocked,,Relation not found in local dbt manifest.
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,table,dwh_fitness_mart,membership_dim,dwh_fitness_mart.membership_dim,source_table,dwh_fitness_mart.membership_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,table,pk_curefitplatforms_membershipdb,memberships,pk_curefitplatforms_membershipdb.memberships,source_table,pk_curefitplatforms_membershipdb.memberships,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,table,dwh_fitness_mart,orders_fact,dwh_fitness_mart.orders_fact,derived_model,pk_cultprod_cultapp.address|pk_cultprod_cultapp.booking|pk_cultprod_cultapp.center|pk_cultprod_cultapp.city|pk_cultprod_cultapp.cultclass|pk_cultprod_cultapp.membership|pk_cultprod_cultapp.preregistrationoffer|pk_curefitplatforms_membershipdb.memberships|pk_curefitprod_center_service.center|pk_curefitprod_center_service.center_sku|pk_curefitprod_center_service.sku|pk_curefitprod_gymfit.addresses|pk_curefitprod_gymfit.centers|pk_curefitprod_gymfit.sellers|pk_oms_analytics.payment_success|pk_prod_curefit_prod.offers|pk_prod_curefit_prod.orders|pk_prod_curefit_prod.orders_offersinfo|pk_prod_curefit_prod.orders_payments|pk_prod_curefit_prod.orders_payments_onuspayments|pk_prod_curefit_prod.orders_payments_refunds|pk_prod_curefit_prod.orders_products|pk_prod_curefit_prod.orders_productsnapshots|pk_prod_curefit_prod.orders_productsnapshots_option_offersinfo|pk_prod_curefit_prod.orders_statushistory|pk_prod_curefit_prod.referrals|pk_prod_curefit_prod.referrals_refereerewards|pk_prod_curefit_prod.referrals_statushistory|pk_walletprod_wallet_prod.wallet_refund,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,table,,base,base,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,table,dwh_fitness_bi,pause_and_extension_fact,dwh_fitness_bi.pause_and_extension_fact,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
12,https://metabase.curefit.co/question/75628-pauses-extensions?ed=2025-12-31,question,question-75628,75628,Pauses Extensions,75628,Pauses Extensions,,0,cte,,parent_child_map,parent_child_map,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,table,dwh_fitness_metrics,nps_responses_base,dwh_fitness_metrics.nps_responses_base,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,table,dwh_fitness_metrics,footfall_by_service_type,dwh_fitness_metrics.footfall_by_service_type,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,table,,nps_base,nps_base,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,table,,combinations_base,combinations_base,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,cte,,platform_nps,platform_nps,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
13,https://metabase.curefit.co/question/59428-nps-by-product-new?city_name=&end_date=2026-02-09&activity_status=actual-active&business_line=&service_type=&ownership_type=&center_name=&start_date=2025-12-01&sub_service_type=&center_service_id=,question,question-59428,59428,NPS by Product - New,59428,NPS by Product - New,,0,cte,,individual_nps,individual_nps,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56424,PR BY PRODUCT,,0,table,dwh_fitness_mart,booking_fact,dwh_fitness_mart.booking_fact,source_table,dwh_fitness_mart.booking_fact,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56424,PR BY PRODUCT,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56424,PR BY PRODUCT,,0,cte,,bt_data,bt_data,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56862,PR BY CITY,,0,table,dwh_fitness_mart,booking_fact,dwh_fitness_mart.booking_fact,source_table,dwh_fitness_mart.booking_fact,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56862,PR BY CITY,,0,table,dwh_fitness_mart,center_dim,dwh_fitness_mart.center_dim,source_table,dwh_fitness_mart.center_dim,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,
14,https://metabase.curefit.co/dashboard/3324-pr-dashboard?business_line=&center_name=&center_service_id=&city_name=&ownership_type=&report_end_date=2025-12-31&report_start_date=2022-04-01&service_type=,dashboard,dashboard-3324,3324,PR DASHBOARD,56862,PR BY CITY,,0,cte,,bt_data,bt_data,unresolved,,query_sql|metadata_json|raw_csv|output_preview_html|lineage_preview_html,,Relation not found in local dbt manifest.
