business_category,item_code,total_amount,base_amount,total_nlc,units,gm,gm_percent
Accessories,HRGB01SLOGXL,198031,167888,132840,405,35048,0.208758219765558
Accessories,HRGB01SLOGXXL,148334,125835,83312,254,42523,0.337926649978146
Accessories,HRGB02LEBKLR,744630,634885,479226,1507,155659,0.245176685541476
Accessories,HRGB02LEBKMD,492227,417736,311322,979,106414,0.25473983568569625
Accessories,HRGB02LEBKSL,377194,320022,227688,716,92334,0.2885239139809138
Accessories,HRGB02LEBKXL,264361,224720,173628,546,51092,0.22735849056603774
Accessories,HRHW01POBR108,1184494,1002571,738430,6713,264141,0.2634636349944293
Accessories,HRKS01NYBKLR,463139,438515,271920,1236,166595,0.3799071867552991
Accessories,HRKS01NYBKMD,637436,604077,370040,1682,234037,0.38742908602711246
Accessories,HRKS01NYBKSL,235904,224189,142340,647,81849,0.3650892773508067
Accessories,HRKS01NYBKXL,340926,322051,191620,871,130431,0.4050010712589
Accessories,HRMB01PUOR2,710101,608550,400892,1891,207658,0.34123408101224223
Accessories,HRMR01PUBKNA,282487,249823,214245,621,35578,0.14241282828242396
Accessories,HRPBUFLSFBKLR,1987375,1710601,1318875,3517,391726,0.22899904770311721
Accessories,HRPBUFLSFBKMD,1383430,1173539,874400,2186,299139,0.254903330865016
Accessories,HRPU01ABBLNA,293150,250675,171625,1373,79050,0.31534855889099433
Accessories,HRSR01PVGNNA,431604,363102,267680,1912,95422,0.2627966797208498
Accessories,HRSR01PVRDNA,416952,354358,270620,1933,83738,0.23630904339679082
Accessories,HRTT01STBKNA,515430,441548,339033,2338,102515,0.23217181370994772
Accessories,HRWE01ABBKNA,347534,299452,197790,1735,101662,0.33949347474720487
Accessories,HRWL01LEBLNA,161951,137258,112840,806,24418,0.17789855600402163
Accessories,HRWL01LEMANA,366,310,280,2,30,0.0967741935483871
Accessories,HRWV01NEBK5,1336798,1132811,723894,906,408917,0.36097548487788345
Accessories,HRWW01POBL19,160273,135829,115200,1920,20629,0.15187478373543206
Accessories,HRWW01POGR19,428442,363111,318180,5303,44931,0.1237390219519651
Accessories,HRWW01POOR19,120246,102650,57420,957,45230,0.44062347783731126
Accessories,HRYB01EVABK75,28974,24531,19800,180,4731,0.19285801638742814
Accessories,HRYB01EVABR75,45530,38585,33770,307,4815,0.12478942594272385
Accessories,HRYM01EVABK4,2466400,2090167,1501330,10354,588837,0.281717680931715
Accessories,HRYM01EVABOG4,5197265,4450532,3210300,22140,1240232,0.2786705050092888
Accessories,HRYM01EVAGR4,4332690,3671773,2478920,17096,1192853,0.32487111812195363
Accessories,HRYM01EVAWI4,127868,108363,91612,619,16751,0.15458228362079307
Accessories,HRYM01TPEBGN6,1565546,1326734,1113000,3180,213734,0.16109785382751932
Accessories,HRYM01TPEBR6,571043,484606,378700,1082,105906,0.21854042252881722
Accessories.Bicycles,FRAME ALL MODEL,0,0,707560000,0,-707560000,-Infinity
Accessories.Bicycles,Tube,42304,38880,12756800,500,-12717920,-327.10699588477365
Accessories.Bicycles,V brake set,0,0,16464000,0,-16464000,-Infinity
Apparel,666003120543,0,0,368905,0,-368905,-Infinity
Apparel,AW19503844XL,-1068,-1016,-878,-1,-138,0.13582677165354332
Apparel,AW19503847L,486,434,0,0,434,1
Apparel,AW19503857L,297,265,0,0,265,1
Apparel,AW19503884XL,-1644,-1565,-1449,-3,-116,0.07412140575079872
Apparel,AW19503885XXL,-276,-263,0,0,-263,1
Apparel,AW19503886L,-525,-500,-505,-1,5,-0.01
Apparel,AW19503886S,-525,-500,175,-1,-675,1.35
Apparel,AW19503887M,-518,-493,-505,-1,12,-0.02434077079107505
Apparel,AW19503887S,-525,-500,-505,-1,5,-0.01
Apparel,AW19503887XL,676,644,530,1,114,0.17701863354037267
Apparel,AW19503889L,116715,105100,84255,114,20845,0.1983349191246432
Apparel,AW19503889M,113235,101893,84994,115,16899,0.1658504509632654
Apparel,AW19503889S,62507,56926,47301,64,9625,0.16907915539472299
Apparel,AW19503889XL,57770,51796,42127,57,9669,0.18667464669086417
Apparel,AW19503889XS,27099,24621,19216,26,5405,0.21952804516469682
Apparel,AW19503889XXL,35928,32248,24390,33,7858,0.2436740262962044
Apparel,AW19503889XXXL,32450,29318,23424,32,5894,0.20103690565522886
Apparel,AW19503890L,35571,31810,17738,24,14072,0.4423766111285759
Apparel,AW19503890M,28468,25418,12563,17,12855,0.5057439609725392
Apparel,AW19503890S,1960,1867,2956,4,-1089,-0.5832886984467059
Apparel,AW19503890XL,31495,28190,15521,21,12669,0.4494146860588861
Apparel,AW19503890XS,-12421,-10987,-12721,-15,1734,-0.1578228815873305
Apparel,AW19503890XXL,8206,7327,-739,-1,8066,1.1008598334925617
Apparel,AW19503892L,176286,167172,233798,332,-66626,-0.39854760366568565
Apparel,AW19503892M,191665,186984,264044,374,-77060,-0.41212082317203613
Apparel,AW19503892S,-60995,-60321,-15300,-20,-45021,0.7463569901029492
Apparel,AW19503892XL,147936,146254,201960,264,-55706,-0.38088530911975055
Apparel,AW19503892XS,-388,-370,9015,13,-9385,25.364864864864863
Apparel,AW19503892XXL,-31065,-29662,12240,16,-41902,1.4126491807700088
Apparel,AW19503893S,732,698,363,1,335,0.4799426934097421
Apparel,AW19503933S,337,321,0,0,321,1
Apparel,AW19503947L,1074,1023,640,2,383,0.37438905180840665
Apparel,AW19503948L,206,133,-6608,-14,6741,50.68421052631579
Apparel,AW19503948M,-4015,-4596,-12942,-36,8346,-1.8159268929503916
Apparel,AW19503948S,456,434,0,0,434,1
Apparel,AW19503948XL,10946,10373,2203,6,8170,0.7876217102091969
Apparel,AW19503948XXL,598,569,364,1,205,0.3602811950790861
Apparel,AW19503952L,3163,3012,14260,31,-11248,-3.734395750332005
Apparel,AW19503952M,33988,32370,42716,118,-10346,-0.31961692925548346
Apparel,AW19503952S,364,347,373,1,-26,-0.07492795389048991
Apparel,AW19503952XL,17096,16282,18720,52,-2438,-0.14973590468001474
Apparel,AW19503952XXL,-32,-31,359,1,-390,12.580645161290322
Apparel,AW19WLGUP1228AL,0,0,591,0,-591,-Infinity
Apparel,AW19WLGUP1228AM,315,281,886,1,-605,-2.1530249110320283
Apparel,AW19WLGUP1228AS,1992,1779,3695,5,-1916,-1.077009555930298
Apparel,AW19WLGUP1228AXL,630,563,394,2,169,0.30017761989342806
Apparel,AW19WS1232AL,-2243,-2367,-9996,-17,7629,-3.223067173637516
Apparel,AW19WS1232AM,-11633,-9276,-27636,-47,18360,-1.9793014230271668
Apparel,AW19WS1232AS,-9102,-9136,-20580,-35,11444,-1.2526269702276707
Apparel,AW19WS1232AXS,-25581,-22673,-24108,-41,1435,-0.06329113924050633
Apparel,AW19WS1232BL,4535,6068,-39864,-73,45932,7.569545154911008
Apparel,AW19WS1232BM,24830,21420,-63145,-115,84565,3.9479458450046687
Apparel,AW19WS1232BS,52428,48012,-5520,-10,53532,1.1149712571857036
Apparel,AW19WS1232BXS,-33224,-29886,-42788,-76,12902,-0.4317071538513016
Apparel,AW19WS1232CL,13816,13926,-5460,-10,19386,1.3920723825937096
Apparel,AW19WS1232CM,-39151,-30952,20842,38,-51794,1.6733652106487464
Apparel,AW19WS1232CS,-24756,-19275,-14456,-26,-4819,0.2500129701686122
Apparel,AW19WS1232CXS,-33118,-30357,-37238,-66,6881,-0.22666930197318574
Apparel,AW19WS1233AL,2486,2368,2469,4,-101,-0.04265202702702703
Apparel,AW19WS1233AM,8106,7361,6787,11,574,0.07797853552506454
Apparel,AW19WS1233AS,68122,64145,83963,136,-19818,-0.308956270948632
Apparel,AW19WS1233AXL,6893,6291,4940,8,1351,0.2147512319186139
Apparel,AW19WS1233BL,3097,2820,1336,2,1484,0.526241134751773
Apparel,AW19WS1233BM,23594,21506,5088,8,16418,0.7634148609690319
Apparel,AW19WS1233BS,37367,34039,44521,70,-10482,-0.30794089133053265
Apparel,AW19WS1233BXL,4558,4341,3816,6,525,0.12093987560469938
Apparel,AW19WS1233CL,7853,7479,6730,10,749,0.10014707848642866
Apparel,AW19WS1233CM,14384,13142,18171,27,-5029,-0.38266626084309846
Apparel,AW19WS1233CS,26932,24380,20989,33,3391,0.13908941755537327
Apparel,AW19WS1233CXL,7323,6975,10176,16,-3201,-0.4589247311827957
Apparel,AW19WS1233DL,1319,1257,617,1,640,0.5091487669053302
Apparel,AW19WS1233DM,10793,10283,8076,12,2207,0.21462608188271906
Apparel,AW19WS1233DS,98034,95836,103695,168,-7859,-0.0820046746525314
Apparel,AW19WS1233DXL,4375,4166,3702,6,464,0.1113778204512722
Apparel,AW19WS1234AL,-2357,-2195,-1941,-3,-254,0.11571753986332574
Apparel,AW19WS1234AM,-4656,-4434,-647,-1,-3787,0.8540820929183581
Apparel,AW19WS1234AS,-2662,-2536,-669,-1,-1867,0.736198738170347
Apparel,AW19WS1234AXL,79,75,0,0,75,1
Apparel,AW19WS1234CL,-1984,-1633,2521,4,-4154,2.5437844458052665
Apparel,AW19WS1234CM,2577,2222,3782,6,-1560,-0.7020702070207021
Apparel,AW19WS1234CS,2390,2511,-6930,-11,9441,3.759856630824373
Apparel,AW19WS1234CXL,-3941,-3753,-1260,-2,-2493,0.6642685851318945
Apparel,AW19WS1234CXXL,554,495,0,0,495,1
Apparel,AW19WS1234DL,15949,15190,3780,6,11410,0.7511520737327189
Apparel,AW19WS1234DM,51669,47931,53578,85,-5647,-0.11781519267280048
Apparel,AW19WS1234DS,35875,33419,46288,75,-12869,-0.3850803435171609
Apparel,AW19WS1234DXL,8246,7853,3152,5,4701,0.598624729402776
Apparel,AW19WS1234DXXL,1294,1232,652,1,580,0.4707792207792208
Apparel,AW19WS1235AL,41444,38611,13191,15,25420,0.6583616067959908
Apparel,AW19WS1235AM,29232,28029,-3448,-4,31477,1.123015448285704
Apparel,AW19WS1235AS,25471,24789,5787,9,19002,0.7665496792932349
Apparel,AW19WS1235AXL,41536,39558,14926,17,24632,0.6226806208605086
Apparel,AW19WS1235BL,18719,16989,682,1,16307,0.9598563776561304
Apparel,AW19WS1235BM,77690,70696,32832,48,37864,0.535589000792124
Apparel,AW19WS1235BS,65043,61952,48526,71,13426,0.2167161673553719
Apparel,AW19WS1235BXL,14919,14209,3996,6,10213,0.7187697937926666
Apparel,AW19WS1236BL,-5124,-4880,-4136,-6,-744,0.15245901639344261
Apparel,AW19WS1236BM,-4003,-3816,-2765,-4,-1051,0.27541928721174
Apparel,AW19WS1236BS,-770,-734,1372,2,-2106,2.869209809264305
Apparel,AW19WS1236BXL,-934,-790,-665,-1,-125,0.15822784810126583
Apparel,AW19WS1236BXS,-9,-8,762,1,-770,96.25
Apparel,AW19WS1236CL,8903,8479,-7224,-12,15703,1.8519872626488973
Apparel,AW19WS1236CM,47078,45672,28294,47,17378,0.3804957085303906
Apparel,AW19WS1236CS,10962,10201,602,1,9599,0.9409861778257034
Apparel,AW19WS1236CXL,7340,6990,1806,3,5184,0.7416309012875536
Apparel,AW19WS1236CXS,1700,1619,4592,7,-2973,-1.8363187152563312
Apparel,AW19WS1236CXXL,366,349,-1881,-3,2230,6.389684813753582
Apparel,AW19WS1236DL,2035,1938,665,1,1273,0.6568627450980392
Apparel,AW19WS1236DM,-789,-751,-668,-1,-83,0.11051930758988016
Apparel,AW19WS1236DS,-3056,-2911,-3325,-5,414,-0.14221916867055995
Apparel,AW19WS1236DXL,-1570,-1495,-1330,-2,-165,0.11036789297658862
Apparel,AW19WS1236DXS,-580,-553,0,0,-553,1
Apparel,AW500291M,744,709,557,1,152,0.2143864598025388
Apparel,AW500298L,-142,-136,-338,-1,202,-1.4852941176470589
Apparel,AW500299L,-1050,-1000,-712,-2,-288,0.288
Apparel,AW500299M,-525,-500,-338,-1,-162,0.324
Apparel,AW500299S,-1050,-1000,700,-2,-1700,1.7
Apparel,AW500300L,366,348,303,1,45,0.12931034482758622
Apparel,AW500302M,-525,-500,-340,-1,-160,0.32
Apparel,AW500303L,-525,-500,-376,-1,-124,0.248
Apparel,AW500303M,-1575,-1500,875,-3,-2375,1.5833333333333333
Apparel,AW500303S,-1575,-1500,-1074,-3,-426,0.284
Apparel,AW500303XL,-1050,-1000,700,-2,-1700,1.7
Apparel,AW500303XXL,-525,-500,-376,-1,-124,0.248
Apparel,AW500304L,-525,-500,-303,-1,-197,0.394
Apparel,AW500304M,-1050,-1000,-752,-2,-248,0.248
Apparel,AW500304S,-1575,-1500,1575,-3,-3075,2.05
Apparel,AW500305L,-525,-500,-358,-1,-142,0.284
Apparel,AW500305M,-2100,-2000,-1504,-4,-496,0.248
Apparel,AW500305S,-525,-500,-358,-1,-142,0.284
Apparel,AW500305XL,-1050,-1000,-716,-2,-284,0.284
Apparel,AW500305XXL,-525,-500,175,-1,-675,1.35
Apparel,AW500341XL,-310,-295,0,0,-295,1
Apparel,AW500351L,-341,-325,0,0,-325,1
Apparel,AW500351M,-153,-146,0,0,-146,1
Apparel,AW500351XL,-153,-146,0,0,-146,1
Apparel,AW500351XXL,-153,-146,0,0,-146,1
Apparel,AW503265XS,-512,-487,0,0,-487,1
Apparel,AW503272XXL,239,228,0,0,228,1
Apparel,AW503293XXL,-367,-350,-356,-1,6,-0.017142857142857144
Apparel,AW503614L,-1575,-1500,-1182,-3,-318,0.212
Apparel,AW503614M,-3150,-3000,-2364,-6,-636,0.212
Apparel,AW503614XXL,-1575,-1500,1575,-3,-3075,2.05
Apparel,AW503958L/XL,44,42,0,0,42,1
Apparel,AW503958S/M,21,20,516,1,-496,-24.8
Apparel,AW503980XL,-688,-655,-934,-1,279,-0.4259541984732824
Apparel,AW503981M,-537,-511,0,0,-511,1
Apparel,AW504022S,-326,-310,-276,-1,-34,0.10967741935483871
Apparel,AW504080S/M,-133,-127,0,0,-127,1
Apparel,AW504092S/M,79,75,0,0,75,1
Apparel,AW504101S/M,-316,-301,0,0,-301,1
Apparel,AW504156L,5768,5493,6537,27,-1044,-0.1900600764609503
Apparel,AW504168M,-348,-332,0,0,-332,1
Apparel,AW504168S,-157,-150,0,0,-150,1
Apparel,AW504174S,-157,-150,0,0,-150,1
Apparel,BBD503404XL,-183,-174,0,0,-174,1
Apparel,BBD503411XL,-249,-237,0,0,-237,1
Apparel,BBD503413S,36,35,0,0,35,1
Apparel,BBD503437M,-531,-506,0,0,-506,1
Apparel,BBD503439L,-1953,-1860,-2062,-5,202,-0.1086021505376344
Apparel,BBD503439M,447,426,812,2,-386,-0.9061032863849765
Apparel,BBD503439S,-6574,-6261,2822,7,-9083,1.4507267209710908
Apparel,BBD503439XL,1521,1448,934,2,514,0.35497237569060774
Apparel,BBD503439XXL,2686,2559,3314,8,-755,-0.29503712387651426
Apparel,BBD503441S,296,282,0,0,282,1
Apparel,BBD503489M,250,238,0,0,238,1
Apparel,BBD503508L,3854,3521,2310,5,1211,0.34393638170974156
Apparel,BBD503508M,-524,-499,-506,-1,7,-0.014028056112224449
Apparel,BBD503508XL,606,577,450,1,127,0.22010398613518198
Apparel,BBD503508XXL,74,70,0,0,70,1
Apparel,BBD503557XS,-290,-276,0,0,-276,1
Apparel,BBD503590M,-375,-357,0,0,-357,1
Apparel,BBD503590XL,-375,-357,0,0,-357,1
Apparel,BBD504033L,-114,-109,0,0,-109,1
Apparel,BBD504033M,-1498,-1211,-1970,-5,759,-0.6267547481420314
Apparel,BBD504033S,-374,-338,-394,-1,56,-0.16568047337278108
Apparel,BBD504033XL,-114,-109,0,0,-109,1
Apparel,BBDWSHIC2L,7574,7213,8750,25,-1537,-0.21308748093719673
Apparel,BBDWSHIC2M,2076,1978,3850,11,-1872,-0.9464105156723963
Apparel,BBDWSHIC2XL,500,484,-1400,-4,1884,3.8925619834710745
Apparel,CS100000L,3116,2968,2650,5,318,0.10714285714285714
Apparel,CS100000M,4679,4457,4240,8,217,0.04868745793134396
Apparel,CS100000S,35,33,530,1,-497,-15.06060606060606
Apparel,CS100000XL,2476,2359,2120,4,239,0.1013141161509114
Apparel,CS100000XXL,35,33,530,1,-497,-15.06060606060606
Apparel,CS100200L,2099,1999,1695,3,304,0.1520760380190095
Apparel,CS503319L,21028,18742,1444,4,17298,0.9229537936186106
Apparel,CS503319M,20224,19261,9606,26,9655,0.501272000415347
Apparel,CS503319S,498,474,720,2,-246,-0.5189873417721519
Apparel,CS503319XL,6672,6354,-1071,-3,7425,1.1685552407932012
Apparel,CS503319XXL,-1381,-1233,-1080,-3,-153,0.12408759124087591
Apparel,CS503331M,450,402,0,0,402,1
Apparel,CS503895L,-134,-127,0,0,-127,1
Apparel,CS503895M,-258,-246,-394,-1,148,-0.6016260162601627
Apparel,CS503895XL,222,211,0,0,211,1
Apparel,CS503896L,313146,297427,220706,456,76721,0.2579490093367448
Apparel,CS503896M,324077,308172,214403,432,93769,0.3042748854535779
Apparel,CS503896S,120749,114473,86153,178,28320,0.24739458212853685
Apparel,CS503896XL,199939,189305,149259,304,40046,0.21154222022661842
Apparel,CS503896XS,56202,53415,40172,83,13243,0.2479266123748011
Apparel,CS503896XXL,110457,104542,91254,172,13288,0.1271068087467238
Apparel,CS503896XXXL,53032,48148,40860,90,7288,0.15136661958959874
Apparel,CS503897L,313,298,0,0,298,1
Apparel,CS600588M,191,182,0,0,182,1
Apparel,CS600588XL,376,358,0,0,358,1
Apparel,CS600590M,580,552,0,0,552,1
Apparel,CS600591S,628,598,525,1,73,0.12207357859531773
Apparel,CS600594XL,-10,-9,0,0,-9,1
Apparel,CS600607XL,93,89,0,0,89,1
Apparel,CS600608XL,51,49,0,0,49,1
Apparel,CS600609L,361,344,305,1,39,0.11337209302325581
Apparel,CS600610L,-679,-647,-646,-2,-1,0.0015455950540958269
Apparel,CS600611M,-289,-275,-323,-1,48,-0.17454545454545456
Apparel,CS600613XXL,307,293,414,1,-121,-0.4129692832764505
Apparel,CS600619XL,-1410,-1343,-1332,-3,-11,0.008190618019359643
Apparel,CS600620L,39,37,0,0,37,1
Apparel,CS600623XL,9,8,0,0,8,1
Apparel,CS600626L,18456,17554,13175,31,4379,0.24945881280619803
Apparel,CS600626M,13738,12636,17978,42,-5342,-0.42276036720481164
Apparel,CS600626S,26757,23950,15799,37,8151,0.3403340292275574
Apparel,CS600626XL,21112,19781,18275,43,1506,0.07613366361660179
Apparel,CS600626XXL,3603,3280,850,2,2430,0.7408536585365854
Apparel,CS600635L,-847,-806,-772,-2,-34,0.04218362282878412
Apparel,CS600635M,-941,-897,-768,-2,-129,0.14381270903010032
Apparel,CS600635S,-428,-408,0,0,-408,1
Apparel,CS600635XXL,66,62,0,0,62,1
Apparel,CS600637L,-391,-372,-363,-1,-9,0.024193548387096774
Apparel,CS600637XL,464,442,0,0,442,1
Apparel,CS600647M,470,448,0,0,448,1
Apparel,CS600667L,335,319,0,0,319,1
Apparel,CS600667M,534,509,0,0,509,1
Apparel,CS600672L,267,254,0,0,254,1
Apparel,CS600677L,-688,-655,-726,-2,71,-0.1083969465648855
Apparel,CS600677XXL,453,431,0,0,431,1
Apparel,CS600687L,354,337,0,0,337,1
Apparel,CS600692L,32,30,-363,-1,393,13.1
Apparel,CS600704S,-514,-490,-476,-1,-14,0.02857142857142857
Apparel,CS600704XL,387,369,0,0,369,1
Apparel,CS600705M,428,407,0,0,407,1
Apparel,CS600708XL,253,241,0,0,241,1
Apparel,CS600709M,35,33,0,0,33,1
Apparel,CS600709S,-12,-12,0,0,-12,1
Apparel,CS600713L,246557,226208,-43249,-51,269457,1.1911912929693025
Apparel,CS600713M,355183,322876,24034,28,298842,0.9255627547417584
Apparel,CS600713S,109516,100040,-28404,-34,128444,1.2839264294282287
Apparel,CS600713XL,126758,117604,-106505,-126,224109,1.9056239583687629
Apparel,CS600713XS,-72584,-69926,-75858,-89,5932,-0.08483253725366817
Apparel,CS600713XXL,123743,112093,-28326,-34,140419,1.2527008823030876
Apparel,CS600713XXXL,41735,37702,32256,42,5446,0.14444857036761977
Apparel,CS600714L,230653,239703,179765,210,59938,0.2500511049089915
Apparel,CS600714M,155419,157363,117594,139,39769,0.25272141481796867
Apparel,CS600714S,72565,69805,58595,71,11210,0.1605902156006017
Apparel,CS600714XL,222,6328,-40178,-48,46506,7.349241466498103
Apparel,CS600714XS,-38943,-37139,-30581,-36,-6558,0.1765798756024664
Apparel,CS600714XXL,136529,127939,81577,97,46362,0.36237581972658844
Apparel,CS600714XXXL,30742,28173,25344,33,2829,0.10041529123629006
Apparel,CS600715L,108780,97180,75047,94,22133,0.22775262399670715
Apparel,CS600715M,85751,76711,69459,87,7252,0.09453663750961401
Apparel,CS600715S,31368,28258,23153,29,5105,0.1806568051525232
Apparel,CS600715XL,27151,24287,17556,22,6731,0.2771441511919957
Apparel,CS600715XS,22578,20823,14231,19,6592,0.31657302021802813
Apparel,CS600715XXL,6903,6221,2394,3,3827,0.6151744092589616
Apparel,CS600715XXXL,-1874,-1673,6144,8,-7817,4.6724447101016136
Apparel,CS600716L,5704,5433,5642,7,-209,-0.03846861770660777
Apparel,CS600716M,1029,980,2418,3,-1438,-1.4673469387755103
Apparel,CS600716S,866,825,806,1,19,0.02303030303030303
Apparel,CS600716XL,11643,11143,3224,4,7919,0.7106703760208203
Apparel,CS600716XS,-9432,-8619,-9842,-12,1223,-0.1418958115790695
Apparel,CS600716XXL,8346,7953,1612,2,6341,0.7973091915000629
Apparel,CS600717L,7245,6556,9999,11,-3443,-0.5251677852348994
Apparel,CS600717M,807,769,3153,3,-2384,-3.1001300390117037
Apparel,CS600717S,4900,4375,3224,4,1151,0.2630857142857143
Apparel,CS600717XL,6384,6240,0,0,6240,1
Apparel,CS600717XS,-5709,-5129,-4836,-6,-293,0.057126145447455645
Apparel,CS600717XXL,-2875,-2738,-2418,-3,-320,0.1168736303871439
Apparel,CS600718L,41373,36929,7910,10,29019,0.7858051937501692
Apparel,CS600718M,2435,2206,-18745,-23,20951,9.49728014505893
Apparel,CS600718S,19982,18592,6328,8,12264,0.6596385542168675
Apparel,CS600718XL,29642,26722,7910,10,18812,0.7039892223635955
Apparel,CS600718XS,-763,-829,-2223,-3,1394,-1.6815440289505428
Apparel,CS600718XXL,14855,13076,1582,2,11494,0.8790149892933619
Apparel,CS600718XXXL,820,732,0,0,732,1
Apparel,CS600719XL,-423,-403,-515,-1,112,-0.27791563275434245
Apparel,CS600720L,67198,67455,1888,2,65567,0.9720109702764806
Apparel,CS600720M,156348,140156,75422,86,64734,0.461871057963983
Apparel,CS600720S,146366,134831,106026,123,28805,0.21363781326252865
Apparel,CS600720XL,-149300,-145893,-161120,-186,15227,-0.10437101163181235
Apparel,CS600720XS,-6629,-6423,-2586,-3,-3837,0.5973843998131714
Apparel,CS600720XXL,11800,10066,-18333,-21,28399,2.821279554937413
Apparel,CS600720XXXL,47814,42848,34080,40,8768,0.2046303211351755
Apparel,CS600725L,630561,594255,310481,531,283774,0.4775290069078089
Apparel,CS600725M,557606,524189,274539,477,249650,0.476259517082579
Apparel,CS600725S,219925,206299,121350,196,84949,0.4117761113723285
Apparel,CS600725XL,325259,305220,162909,281,142311,0.46625712600747005
Apparel,CS600725XS,49270,46222,17954,31,28268,0.6115702479338843
Apparel,CS600725XXL,170694,160133,92714,147,67419,0.42101877814067057
Apparel,CS600725XXXL,49488,47131,41750,50,5381,0.11417114001400352
Apparel,CS600726L,367021,344354,186546,315,157808,0.45827259157727224
Apparel,CS600726M,356403,334699,191157,325,143542,0.428868924018297
Apparel,CS600726S,156612,145864,84248,144,61616,0.4224208852081391
Apparel,CS600726XL,190479,178266,93023,159,85243,0.4781786768088138
Apparel,CS600726XS,44466,40829,20477,35,20352,0.4984692253055426
Apparel,CS600726XXL,99673,94346,52473,85,41873,0.44382379751128825
Apparel,CS600726XXXL,36657,33459,29225,35,4234,0.12654293314205445
Apparel,CS600727L,-1113,-1060,-750,-1,-310,0.29245283018867924
Apparel,CS600727M,-3355,-3195,-2996,-4,-199,0.062284820031298906
Apparel,CS600727S,4087,3892,2996,4,896,0.2302158273381295
Apparel,CS600727XL,-2308,-2198,-1498,-2,-700,0.3184713375796178
Apparel,CS600727XS,1516,1444,762,1,682,0.47229916897506924
Apparel,CS600727XXL,1717,1635,749,1,886,0.5418960244648318
Apparel,CS600728L,336933,313352,179716,345,133636,0.4264724654701422
Apparel,CS600728M,355272,329390,164166,315,165224,0.5016059989677889
Apparel,CS600728S,154176,143321,88225,155,55096,0.3844237759993302
Apparel,CS600728XL,181748,168786,97977,188,70809,0.4195193914187196
Apparel,CS600728XS,32689,31065,11109,21,19956,0.6423949782713665
Apparel,CS600728XXL,108763,101575,66236,115,35339,0.34791041102633524
Apparel,CS600728XXXL,36887,34388,30381,39,4007,0.11652320576945446
Apparel,CS600729L,19958,20287,-4440,-6,24727,1.218859368068221
Apparel,CS600729M,23481,20823,7890,10,12933,0.6210920616625847
Apparel,CS600729S,11849,10539,4434,6,6105,0.5792769712496442
Apparel,CS600729XL,24285,23600,6862,9,16738,0.7092372881355932
Apparel,CS600729XS,-40,-38,-742,-1,704,-18.526315789473685
Apparel,CS600729XXL,17406,17046,8893,12,8153,0.47829402792443976
Apparel,CS600729XXXL,2410,2152,785,1,1367,0.6352230483271375
Apparel,CS600730L,253414,235336,164869,308,70467,0.2994314512016861
Apparel,CS600730M,177656,166140,148275,277,17865,0.10752979414951246
Apparel,CS600730S,205789,193206,146134,273,47072,0.24363632599401674
Apparel,CS600730XL,262495,249943,142387,266,107556,0.4303221134418647
Apparel,CS600730XS,77483,73934,33723,63,40211,0.5438769713528282
Apparel,CS600730XXL,128117,122016,62629,117,59387,0.4867148570679255
Apparel,CS600730XXXL,86643,82398,44964,84,37434,0.45430714337726646
Apparel,CS600731L,958,913,756,1,157,0.171960569550931
Apparel,CS600731M,799,714,0,0,714,1
Apparel,CS600731S,-2679,-2551,-2286,-3,-265,0.10388083104664837
Apparel,CS600731XL,3555,3386,3008,4,378,0.11163614884819846
Apparel,CS600731XS,-260,-248,0,0,-248,1
Apparel,CS6007332XL,-547,-463,162,-1,-625,1.349892008639309
Apparel,CS600733L,135153,120672,88440,88,32232,0.26710421638822596
Apparel,CS600733M,68496,61157,34170,34,26987,0.44127409781382343
Apparel,CS600733S,40240,36064,26130,26,9934,0.2754547471162378
Apparel,CS600733XL,72431,64887,43215,43,21672,0.33399602385685884
