city,total_gmv
Bongaigaon,519.0
GREATER NOIDA WEST,499.0
Kheda,499.0
Greater Noida west,499.0
BENGALURU urban,499.0
Allahabad,498.0
Bijawar,489.0
Sonbhadra,479.0
BULANDSHAHR,479.0
Ramachandrapuram,449.0
Tellapur,439.0
Chintapalli,431.0
Gaya,429.0
TONK,419.0
Paschim Vihar,419.0
Kondapur,419.0
SRI MUKTSAR SAHIB,399.0
COOCHBEHAR,399.0
BHILWARA,399.0
Jagdalpur,399.0
Bagalkot,399.0
Rajahmundry,399.0
Chintalkunta,399.0
South Tripura,399.0
WEST GARO HILLS,399.0
AMROHA,399.0
NANDED,399.0
Modinagar,399.0
Hyderabad Miyapur,398.0
Kundapura,389.0
Shamli,378.0
Nagole,369.0
SAHARSA,359.0
mumbai,349.0
MAHENDRAGARH,349.0
Financial district,349.0
MORADABAD,329.0
Lower Subansiri,329.0
Muzaffarpur,321.0
Rourkela,309.0
Kondapur Hyderabad,304.0
VIJAYAWADA,299.0
Ranga reddy,299.0
Maddur,299.0
DEORIA,284.0
TIRUNELVELI,279.0
Barrackpore,259.0
Hyderabad RANGA REDDY,249.0
delhi,249.0
Manipal,229.0
WEST delhi,229.0
BENGALURU south,229.0
Tadikonda,229.0
Medchal Malkajgiri,229.0
Patel Nagar amberpet Hyderabad,189.0
Medchal,179.0
Ranga Reddy district,149.0
AURANGABAD,99.0
Maharashtra,99.0
Hathras,74.0
AHMEDABAD,73.0
Barnala,63.0
Thorrur,59.0
Thanjavur,57.0
Sarai Jullena,24.0
Karimganj,19.0
A-14 1st floor Amber block Emaar emerald h Gurgaon,4.0
MEDCHAL MALKAJGIRI Kompally,0.0
Hyderabad K.V.Rangareddy,0.0
MEDCHAL MALKAJGIRI kompally,0.0
Gachibowli,0.0
Pragathi nagar,0.0
Financial District,0.0
Greater noida,0.0
TUTICORIN,0.0
Sanath nagar,0.0
vijayawada,0.0
