Product X Ownership,period,Product Rating (PR)
GYM - COCO,M-2024-05-01,3.62
GYM - FOFO,M-2024-05-01,3.62
GYM - MARKETPLACE,M-2024-05-01,3.62
SPORTS - COCO,M-2024-05-01,3.66
SPORTS - MARKETPLACE,M-2024-05-01,3.64
GX - COCO,M-2024-06-01,3.88
GX - FOFO,M-2024-06-01,3.88
GYM - COCO,M-2024-06-01,3.65
GYM - FOFO,M-2024-06-01,3.63
GYM - MARKETPLACE,M-2024-06-01,3.62
SPORTS - COCO,M-2024-06-01,3.67
SPORTS - MARKETPLACE,M-2024-06-01,3.65
GX - COCO,M-2024-07-01,3.88
GX - FOFO,M-2024-07-01,3.89
GYM - COCO,M-2024-07-01,3.65
GYM - FOFO,M-2024-07-01,3.62
GYM - MARKETPLACE,M-2024-07-01,3.62
SPORTS - COCO,M-2024-07-01,3.67
SPORTS - MARKETPLACE,M-2024-07-01,3.69
GX - COCO,M-2024-08-01,3.88
GX - FOFO,M-2024-08-01,3.88
GYM - COCO,M-2024-08-01,3.65
GYM - FOFO,M-2024-08-01,3.62
GYM - MARKETPLACE,M-2024-08-01,3.6
SPORTS - COCO,M-2024-08-01,3.68
SPORTS - MARKETPLACE,M-2024-08-01,3.55
GX - COCO,M-2024-09-01,3.88
GX - FOFO,M-2024-09-01,3.89
GYM - COCO,M-2024-09-01,3.66
GYM - FOFO,M-2024-09-01,3.62
GYM - MARKETPLACE,M-2024-09-01,3.6
SPORTS - COCO,M-2024-09-01,3.67
SPORTS - MARKETPLACE,M-2024-09-01,3.65
GX - COCO,M-2024-10-01,3.89
GX - FOFO,M-2024-10-01,3.89
GYM - COCO,M-2024-10-01,3.69
GYM - FOFO,M-2024-10-01,3.66
GYM - MARKETPLACE,M-2024-10-01,3.61
SPORTS - COCO,M-2024-10-01,3.64
SPORTS - MARKETPLACE,M-2024-10-01,3.68
GX - COCO,M-2024-11-01,3.87
GX - FOFO,M-2024-11-01,3.88
GYM - COCO,M-2024-11-01,3.66
GYM - FOFO,M-2024-11-01,3.63
GYM - MARKETPLACE,M-2024-11-01,3.59
SPORTS - COCO,M-2024-11-01,3.66
SPORTS - MARKETPLACE,M-2024-11-01,3.66
GX - COCO,M-2024-12-01,3.86
GX - FOFO,M-2024-12-01,3.86
GYM - COCO,M-2024-12-01,3.65
GYM - FOFO,M-2024-12-01,3.63
GYM - MARKETPLACE,M-2024-12-01,3.56
SPORTS - COCO,M-2024-12-01,3.64
SPORTS - MARKETPLACE,M-2024-12-01,3.63
GX - COCO,M-2025-01-01,3.85
GX - FOFO,M-2025-01-01,3.85
GYM - COCO,M-2025-01-01,3.6
GYM - FOFO,M-2025-01-01,3.58
GYM - MARKETPLACE,M-2025-01-01,3.54
SPORTS - COCO,M-2025-01-01,3.65
SPORTS - MARKETPLACE,M-2025-01-01,3.65
GX - COCO,M-2025-02-01,3.85
GX - FOFO,M-2025-02-01,3.85
GYM - COCO,M-2025-02-01,3.61
GYM - FOFO,M-2025-02-01,3.58
GYM - MARKETPLACE,M-2025-02-01,3.52
SPORTS - COCO,M-2025-02-01,3.65
SPORTS - MARKETPLACE,M-2025-02-01,3.63
GX - COCO,M-2025-03-01,3.85
GX - FOFO,M-2025-03-01,3.84
GYM - COCO,M-2025-03-01,3.61
GYM - FOFO,M-2025-03-01,3.57
GYM - MARKETPLACE,M-2025-03-01,3.51
SPORTS - COCO,M-2025-03-01,3.64
SPORTS - MARKETPLACE,M-2025-03-01,3.61
GX - COCO,M-2025-04-01,3.85
GX - FOFO,M-2025-04-01,3.84
GYM - COCO,M-2025-04-01,3.6
GYM - FOFO,M-2025-04-01,3.56
GYM - MARKETPLACE,M-2025-04-01,3.5
SPORTS - COCO,M-2025-04-01,3.61
SPORTS - MARKETPLACE,M-2025-04-01,3.57
GX - COCO,M-2025-05-01,3.85
GX - FOFO,M-2025-05-01,3.84
GYM - COCO,M-2025-05-01,3.6
GYM - FOFO,M-2025-05-01,3.56
GYM - MARKETPLACE,M-2025-05-01,3.48
SPORTS - COCO,M-2025-05-01,3.62
SPORTS - MARKETPLACE,M-2025-05-01,3.57
GX - COCO,M-2025-06-01,3.85
GX - FOFO,M-2025-06-01,3.85
GYM - COCO,M-2025-06-01,3.6
GYM - FOFO,M-2025-06-01,3.57
GYM - MARKETPLACE,M-2025-06-01,3.47
SPORTS - COCO,M-2025-06-01,3.62
SPORTS - MARKETPLACE,M-2025-06-01,3.57
GX - COCO,M-2025-07-01,3.85
GX - FOFO,M-2025-07-01,3.85
GYM - COCO,M-2025-07-01,3.59
GYM - FOFO,M-2025-07-01,3.58
GYM - MARKETPLACE,M-2025-07-01,3.47
SPORTS - COCO,M-2025-07-01,3.63
SPORTS - MARKETPLACE,M-2025-07-01,3.57
GX - COCO,M-2025-08-01,3.86
GX - FOFO,M-2025-08-01,3.86
GYM - COCO,M-2025-08-01,3.62
GYM - FOFO,M-2025-08-01,3.61
GYM - MARKETPLACE,M-2025-08-01,3.49
SPORTS - COCO,M-2025-08-01,3.65
SPORTS - MARKETPLACE,M-2025-08-01,3.64
GX - COCO,M-2025-09-01,3.86
GX - FOFO,M-2025-09-01,3.86
GYM - COCO,M-2025-09-01,3.6
GYM - FOFO,M-2025-09-01,3.57
GYM - MARKETPLACE,M-2025-09-01,3.49
SPORTS - COCO,M-2025-09-01,3.65
SPORTS - MARKETPLACE,M-2025-09-01,3.59
GX - COCO,M-2025-10-01,3.86
GX - FOFO,M-2025-10-01,3.86
GYM - COCO,M-2025-10-01,3.61
GYM - FOFO,M-2025-10-01,3.6
GYM - MARKETPLACE,M-2025-10-01,3.49
SPORTS - COCO,M-2025-10-01,3.65
SPORTS - MARKETPLACE,M-2025-10-01,3.64
GX - COCO,M-2025-11-01,3.85
GX - FOFO,M-2025-11-01,3.85
GYM - COCO,M-2025-11-01,3.63
GYM - FOFO,M-2025-11-01,3.61
GYM - MARKETPLACE,M-2025-11-01,3.51
SPORTS - COCO,M-2025-11-01,3.66
SPORTS - MARKETPLACE,M-2025-11-01,3.57
GX - COCO,M-2025-12-01,3.86
GX - FOFO,M-2025-12-01,3.86
GYM - COCO,M-2025-12-01,3.65
GYM - FOFO,M-2025-12-01,3.63
GYM - MARKETPLACE,M-2025-12-01,3.53
SPORTS - COCO,M-2025-12-01,3.68
SPORTS - MARKETPLACE,M-2025-12-01,3.62
GX - COCO,M-2026-01-01,3.86
GX - FOFO,M-2026-01-01,3.86
GYM - COCO,M-2026-01-01,3.62
GYM - FOFO,M-2026-01-01,3.6
GYM - MARKETPLACE,M-2026-01-01,3.52
SPORTS - COCO,M-2026-01-01,3.67
SPORTS - MARKETPLACE,M-2026-01-01,3.54
GX - COCO,M-2026-02-01,3.87
GX - FOFO,M-2026-02-01,3.86
GYM - COCO,M-2026-02-01,3.62
GYM - FOFO,M-2026-02-01,3.61
GYM - MARKETPLACE,M-2026-02-01,3.51
SPORTS - COCO,M-2026-02-01,3.67
SPORTS - MARKETPLACE,M-2026-02-01,3.53
GX - COCO,M-2026-03-01,3.87
GX - FOFO,M-2026-03-01,3.86
GYM - COCO,M-2026-03-01,3.63
GYM - FOFO,M-2026-03-01,3.6
GYM - MARKETPLACE,M-2026-03-01,3.5
SPORTS - COCO,M-2026-03-01,3.66
SPORTS - MARKETPLACE,M-2026-03-01,3.56
