sales_type,category,order_id,order_created_date,order_month,user_id,fitso_user_id,source,pack_id,pack_name,membership_service_id,revenue_type,mrp,price,instant_discount,fitcash,platform_fee,total_amount_payable,fitcash_refunded,total_refund,gmv,max_payment_channel,selected_payment_mode,group_order_payment_channel,group_order_payment_mode,is_gift_card_used,gift_card_amount,final_center_name,final_center_service_id,fin_cen_type,fin_cen_city,fin_cen_state,fin_cen_ownership_type,purchase_center_name,purchase_center_service_id,pur_cen_type,pur_cen_city,pur_cen_state,attribution_status,attribution_date,attributed_centername,attributed_centerservice_id,payment_gateway,pg_method,method_detail,pg_charges,juspay_charges,is_ppc,gst_base_amt,gst%,gst_amt,cgst,sgst,pfgst_base,pfgst%,pfgst_amt,sellerdetails_gstinno,sellerdetails_sellerid,sellerdetails_name,invoice_no,extrachargeinvoiceid,subscription_id,purchase_token,test_flag,bill_details,Remarks
Atcenter Fitness(Elite & Pro & LUX),ELITE,4087832665,"March 31, 2026","March 1, 2026",74118270,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,81,332",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Cult Gym Hennur Gardens (earlier Kothanur),1968,GYM,Bangalore,,FOFO,Cult Hennur Gardens (earlier Kothanur)(Hennur),1997,GX,Bangalore,,Attributed,"April 7, 2026, 5:30 AM",Cult Gym Hennur Gardens (earlier Kothanur),1968,CASHFREE,UPI,Trns > 2K,1.48,16.28,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038548151,0000820749,,,,,
GYM PT Pipeline,GYMFIT_PT,4087744512,"March 31, 2026","March 1, 2026",90480266,,GYMFIT_PARTNER,GYMPT675,Level 4 Couple Personal Training - 72 Sessions (Center-wide Pack),,Credit,"74,200","74,200",,0,,"74,200",,,"74,200",MANUAL,MANUAL,MANUAL,MANUAL,0,,Gold's Gym (Kandivali West),760,GYM,Mumbai,Maharashtra,MARKETPLACE,Gold's Gym (Kandivali West),760,,,Maharashtra,,,,,CASH,CASH,CASH,,,0,"70,666.67",5,"3,533.33","1,766.67","1,766.67",,,,27AAGCC6845A1ZT,SELLER_CULT_BOM_2,CureFit Services Private Limited,0038547567,,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088241256,"March 31, 2026","March 1, 2026",100225042,,CUREFIT_APP,CULTPACK_ncU1Dg,12 Month cultpass ELITE,"9,08,85,660",Credit,"45,550","13,619","1,690",0,140,"13,759.75",,,"15,449.75",JUSPAY_RP,EMI,JUSPAY_RP,EMI,0,,Cult Gym Kondapur,1100,GYM,Hyderabad,Telangana,COCO,Cult Kondapur (Raghavendra Colony)(Kondapur),2228,GX,Hyderabad,TELANGANA,Attributed,"April 5, 2026, 12:00 AM",Cult Gym Kondapur,1100,HDFC,EMI Credit Card,HDFC,165.12,15.14,0,"12,971.19",5,648.56,324.28,324.28,118.64,18,21.36,36AAGCC6845A1ZU,SELLER_CULT_HYD_2,Curefit Services Private Limited,0038551048,0000822870,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088455925,"March 31, 2026","March 1, 2026",91081201,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,87,723",Credit,"45,550","15,310",,0,140,"15,450",,,"15,450",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Aim Fit (NRI Layout),2738,GYM,Bangalore,,MARKETPLACE,Cult KR Puram(KR Puram),790,GX,Bangalore,Karnataka,Attributed,"April 16, 2026, 12:00 AM",Aim Fit (NRI Layout),2738,CASHFREE,UPI,Trns > 2K,1.55,17,0,"14,580.95",5,729.05,364.52,364.52,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038552777,0000824220,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088143343,"March 31, 2026","March 1, 2026",106194085,,CUREFIT_APP,CULTPACK_b4AHzy,3 Month cultpass ELITE,"9,08,84,594",Credit,"17,550","8,619",,0,81,"8,700",,,"8,700",JUSPAY_RP,UPI,JUSPAY_RP,UPI,0,,Cult Marathahalli,157,GX,Bangalore,Karnataka,COCO,Cult Marathahalli(Marathahalli),157,GX,Bangalore,Karnataka,Curefit_Attributed,"April 1, 2026, 5:30 AM",cure.fit GX Bangalore,2153,CASHFREE,UPI,Trns > 2K,0.87,9.57,0,"8,208.57",5,410.43,205.21,205.21,68.64,18,12.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038550175,0000822239,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088478746,"March 31, 2026","March 1, 2026",106196875,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,87,941",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",JUSPAY_RP,UPI,JUSPAY_RP,UPI,1,"14,000",Cult Gym Hoodi Main,1501,GYM,Bangalore,,COCO,Cult Hoodi(Mahadevpura),230,GX,Bangalore,Karnataka,Attributed,"April 6, 2026, 5:30 AM",Cult Gym Hoodi Main,1501,CASHFREE,UPI,Trns > 2K,1.48,16.28,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038552983,0000824374,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088462550,"March 31, 2026","March 1, 2026",106151822,,GYMFIT_PARTNER,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,87,767",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",MANUAL,MANUAL,MANUAL,MANUAL,0,,"Cult Gym JP Nagar, 3rd Phase",2418,GYM,Bangalore,,FOFO,"Cult Gym JP Nagar, 3rd Phase(JP Nagar)",2418,GYM,Bangalore,,Attributed,"April 1, 2026, 5:30 AM","Cult Gym JP Nagar, 3rd Phase",2418,CASH,CASH,CASH,,,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038552823,0000824256,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4089272577,"March 31, 2026","March 1, 2026",104647987,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,94,749",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",JUSPAY_RP,MERCHANT_CONTAINER,JUSPAY_RP,MERCHANT_CONTAINER,1,"14,800",Cult Gym Hoodi Main,1501,GYM,Bangalore,,COCO,Cult Hoodi(Mahadevpura),230,GX,Bangalore,Karnataka,Attributed,"April 1, 2026, 5:30 AM",Cult Gym Hoodi Main,1501,MERCHANT_CONTAINER,MERCHANT_CONTAINER,Fitcash/GiftCard,0,,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC6845A1ZP,SELLER_CFS_KARNATAKA,Curefit Services Private Limited,0038558853,0000829349,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088743918,"March 31, 2026","March 1, 2026",96834,,CUREFIT_APP,CULTPACK_WYaF4Z,12 Month cultpass ELITE,"9,08,90,429",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",JUSPAY_RP,DEBIT_OR_CREDIT_CARD,JUSPAY_RP,DEBIT_OR_CREDIT_CARD,0,,LMNT Fitness Club,836,GYM,Bangalore,Karnataka,MARKETPLACE,LMNT Fitness Club(Mahadevapura),836,GYM,Bangalore,Karnataka,Not_Yet_Attributed,,LMNT Fitness Club,836,EASEBUZZ,CREDIT CARD,Credit Trns,244.2,16.28,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,29AAGCC5859A1ZL,SELLER_CULT_HEALTHCARE_KARNATAKA,Cultfit Healthcare Private Limited,0038555186,0000826210,,,,,
Atcenter Fitness(Elite & Pro & LUX),ELITE,4088248792,"March 31, 2026","March 1, 2026",106177414,,GYMFIT_PARTNER,CULTPACK_ncU1Dg,12 Month cultpass ELITE,"9,08,85,595",Credit,"45,550","14,660",,0,140,"14,800",,,"14,800",MANUAL,MANUAL,MANUAL,MANUAL,0,,Cult Gym Kukatpally,708,GYM,Hyderabad,Telangana,FOFO,Cult Gym Kukatpally(KPHB),708,GYM,Hyderabad,Telangana,Attributed,"April 6, 2026, 5:30 AM",Cult Gym Kukatpally,708,CASH,CASH,CASH,,,0,"13,961.9",5,698.1,349.05,349.05,118.64,18,21.36,36AAGCC6845A1ZU,SELLER_CULT_HYD_2,Curefit Services Private Limited,0038550996,0000822835,,,,,
