category,article_type,majority_service,style_id,product_total_gmv,category_total_gmv,overall_total_gmv,overall_category_percentage_contribution,category__product_percentage_contribution,overall_product_percentage_contribution,rnk
Indoor Equipment,Walkpad,HYBRID_GYM,805002,552332,370477394,1078814296,34.341164681785045,0.14908655938127227,0.051198060875529965,131
Indoor Equipment,Massage Chair,HYBRID_GX,805109,549793,370477394,1078814296,34.341164681785045,0.1484012274174008,0.050962709897199955,132
Indoor Equipment,Massage Chair,GYM,805107,548437,370477394,1078814296,34.341164681785045,0.14803521318226504,0.05083701634595321,133
Indoor Equipment,Strength,OTHERS,805266,547222,370477394,1078814296,34.341164681785045,0.14770725794945536,0.0507243926993715,134
Indoor Equipment,Spin Bike,OTHERS,802289,542012,370477394,1078814296,34.341164681785045,0.1463009643174072,0.05024145508728038,135
Indoor Equipment,Treadmill,HYBRID_GX,801724,536490,370477394,1078814296,34.341164681785045,0.1448104550206375,0.04972959683507939,136
Indoor Equipment,Strength,PLAY,,528671,370477394,1078814296,34.341164681785045,0.142699934884556,0.049004819639505405,137
Indoor Equipment,Treadmill,HYBRID_GX,801725,511885,370477394,1078814296,34.341164681785045,0.13816902415373825,0.04744885212385061,138
Indoor Equipment,Walkpad,HYBRID_GX,805001,509577,370477394,1078814296,34.341164681785045,0.137546044172401,0.04723491354252502,139
Indoor Equipment,Walkpad,HYBRID_GYM,,508590,370477394,1078814296,34.341164681785045,0.13727963115611855,0.047143424209869764,140
Indoor Equipment,Strength,OTHERS,900040,508163,370477394,1078814296,34.341164681785045,0.13716437446113108,0.047103843718437344,141
Indoor Equipment,Treadmill,PLAY,802154,496492,370477394,1078814296,34.341164681785045,0.1340141147721418,0.04602200785073764,142
Indoor Equipment,Walkpad,HYBRID_GX,,489084,370477394,1078814296,34.341164681785045,0.13201453257901075,0.04533532803684685,143
Indoor Equipment,Strength,OTHERS,700056,487884,370477394,1078814296,34.341164681785045,0.13169062617623573,0.045224094805655035,144
Indoor Equipment,Treadmill,OTHERS,802156,483374,370477394,1078814296,34.341164681785045,0.13047327794580632,0.04480604324509248,145
Indoor Equipment,Treadmill,HYBRID_GYM,900031,452755,370477394,1078814296,34.341164681785045,0.12220853615699963,0.04196783465687407,146
Indoor Equipment,Treadmill,OTHERS,900338,451581,370477394,1078814296,34.341164681785045,0.12189164772628475,0.041859011479024745,147
Indoor Equipment,Treadmill,GX,805010,443984,370477394,1078814296,34.341164681785045,0.11984105027471662,0.04115481243122125,148
Indoor Equipment,Treadmill,OTHERS,805054,438960,370477394,1078814296,34.341164681785045,0.11848496213509858,0.04068911596996486,149
Indoor Equipment,Elliptical,GYM,900064,437990,370477394,1078814296,34.341164681785045,0.11822313779285545,0.040599202441418146,150
Indoor Equipment,Spin Bike,GX,805084,437809,370477394,1078814296,34.341164681785045,0.11817428191043688,0.04058242476238005,151
Indoor Equipment,Massage Chair,GX,805107,434493,370477394,1078814296,34.341164681785045,0.11727922055076861,0.040275050266853345,152
Indoor Equipment,Elliptical,PLAY,,433469,370477394,1078814296,34.341164681785045,0.1170028204204006,0.040180131242903,153
Indoor Equipment,Massage Chair,HYBRID_GX,805107,432993,370477394,1078814296,34.341164681785045,0.11687433754729985,0.040136008727863576,154
Indoor Equipment,Treadmill,GX,900031,427492,370477394,1078814296,34.341164681785045,0.11538949661257873,0.039626097057208445,155
Indoor Equipment,Rowing Machine,GYM,801306,425190,370477394,1078814296,34.341164681785045,0.11476813616325536,0.03941271464203881,156
Indoor Equipment,Treadmill,HYBRID_GYM,805014,422505,370477394,1078814296,34.341164681785045,0.11404339558704626,0.03916383028724714,157
Indoor Equipment,Treadmill,HYBRID_GYM,900034,410846,370477394,1078814296,34.341164681785045,0.11089637496208474,0.03808310675185936,158
Indoor Equipment,Treadmill,GYM,900032,409493,370477394,1078814296,34.341164681785045,0.11053117049295591,0.037957691283690594,159
Indoor Equipment,Treadmill,GYM,805009,405884,370477394,1078814296,34.341164681785045,0.10955702198661008,0.037623157340881216,160
Indoor Equipment,Spin Bike,GYM,802291,405799,370477394,1078814296,34.341164681785045,0.10953407861641351,0.03761527832033846,161
Indoor Equipment,Rowing Machine,GX,802155,403473,370477394,1078814296,34.341164681785045,0.10890624003903461,0.037399671240544996,162
Indoor Equipment,Treadmill,HYBRID_GX,805010,401652,370477394,1078814296,34.341164681785045,0.10841471207282352,0.03723087481221143,163
Indoor Equipment,Massage Chair,GYM,900180,397998,370477394,1078814296,34.341164681785045,0.10742841707637363,0.03689216962323236,164
Indoor Equipment,Spin Bike,GYM,805084,397858,370477394,1078814296,34.341164681785045,0.10739062799604987,0.03687919241292665,165
Indoor Equipment,Treadmill,GX,900030,393990,370477394,1078814296,34.341164681785045,0.10634656969110509,0.036520650631051706,166
Indoor Equipment,Cardio,GYM,900369,389482,370477394,1078814296,34.341164681785045,0.10512976130468031,0.036102784459207796,167
Indoor Equipment,Treadmill,HYBRID_GYM,805012,380955,370477394,1078814296,34.341164681785045,0.10282813639096156,0.03531237965723064,168
Indoor Equipment,Massage Chair,HYBRID_GYM,805108,377995,370477394,1078814296,34.341164681785045,0.10202916726411652,0.035038004353624176,169
Indoor Equipment,Walkpad,HYBRID_GYM,805000,376982,370477394,1078814296,34.341164681785045,0.10175573627577396,0.03494410496762642,170
Indoor Equipment,Walkpad,HYBRID_GX,805002,376632,370477394,1078814296,34.341164681785045,0.10166126357496458,0.03491166194186214,171
Indoor Equipment,Treadmill,GX,805014,370979,370477394,1078814296,34.341164681785045,0.10013539449589197,0.03438766072858938,172
Indoor Equipment,Spin Bike,GYM,701006,370135,370477394,1078814296,34.341164681785045,0.0999075803259402,0.03430942668931781,173
Indoor Equipment,Treadmill,GX,805011,359244,370477394,1078814296,34.341164681785045,0.09696785979875468,0.03329989242189278,174
Indoor Equipment,Massage Chair,HYBRID_GYM,900180,358998,370477394,1078814296,34.341164681785045,0.09690145898618581,0.03327708960949846,175
Indoor Equipment,Rowing Machine,GX,900059,354343,370477394,1078814296,34.341164681785045,0.09564497206542108,0.03284559736683356,176
Indoor Equipment,Strength,GYM,900040,348754,370477394,1078814296,34.341164681785045,0.09413637799449646,0.03232752859255769,177
Indoor Equipment,Strength,OTHERS,802151,346966,370477394,1078814296,34.341164681785045,0.0936537574543617,0.03216179107808189,178
Indoor Equipment,,OTHERS,,341811,370477394,1078814296,34.341164681785045,0.09226230953244073,0.03168395165575373,179
Indoor Equipment,Strength,OTHERS,900037,340573,370477394,1078814296,34.341164681785045,0.09192814609357784,0.03156919603890752,180
Indoor Equipment,Elliptical,GYM,900065,337587,370477394,1078814296,34.341164681785045,0.09112215899467269,0.03129241068195856,181
Indoor Equipment,Walkpad,HYBRID_GX,805000,330868,370477394,1078814296,34.341164681785045,0.08930855306113496,0.030669597281643732,182
Indoor Equipment,Massage Chair,GYM,805108,330495,370477394,1078814296,34.341164681785045,0.08920787215427238,0.03063502228561495,183
Indoor Equipment,Spin Bike,HYBRID_GYM,805084,324265,370477394,1078814296,34.341164681785045,0.08752625807986546,0.030057536427010787,184
Indoor Equipment,Rowing Machine,HYBRID_GX,801306,318663,370477394,1078814296,34.341164681785045,0.08601415502291078,0.02953826262606368,185
Indoor Equipment,Spin Bike,OTHERS,900277,315212,370477394,1078814296,34.341164681785045,0.08508265419293032,0.029218374392027895,186
