month,city_name,user_base
"September 1, 2025",Bangalore,"370,852"
"September 1, 2025",Hyderabad,"178,001"
"September 1, 2025",Gurgaon,"137,307"
"September 1, 2025",,"121,628"
"September 1, 2025",Mumbai,"44,210"
"September 1, 2025",Pune,"32,602"
"September 1, 2025",Chennai,"7,770"
"September 1, 2025",Navi_Mum_And_Thane,"4,223"
"September 1, 2025",Lucknow,"2,102"
"September 1, 2025",Bhubaneswar,"1,726"
"September 1, 2025",Mysore,"1,665"
"September 1, 2025",Jaipur,"1,574"
"September 1, 2025",Chandigarh,"1,492"
"September 1, 2025",Jammu,"1,375"
"September 1, 2025",Gulbarga,"1,341"
"September 1, 2025",Nagpur,"1,058"
"September 1, 2025",Coimbatore,"1,033"
"September 1, 2025",Visakhapatnam,964
"September 1, 2025",Kota,823
"September 1, 2025",Kanpur,813
"September 1, 2025",Jabalpur,733
"September 1, 2025",Tumkur,673
"September 1, 2025",Bhopal,657
"September 1, 2025",Patna,605
"September 1, 2025",Mangalore,532
"September 1, 2025",Indore,482
"September 1, 2025",Kochi,421
"September 1, 2025",Moradabad,420
"September 1, 2025",Bathinda,389
"September 1, 2025",Siliguri,313
"September 1, 2025",Belgaum,287
"September 1, 2025",Kolkata,65
"September 1, 2025",Ahmedabad,52
"September 1, 2025",Bilaspur,44
"September 1, 2025",Dehradun,21
"September 1, 2025",Agra,12
"September 1, 2025",Ranchi,12
"September 1, 2025",Rourkela,10
"September 1, 2025",Bareilly,9
"September 1, 2025",Allahabad,9
"September 1, 2025",Jamshedpur,9
"September 1, 2025",Guwahati,7
"September 1, 2025",Nashik,7
"September 1, 2025",Ludhiana,6
"September 1, 2025",Rajahmundry,6
"September 1, 2025",Roorkee,5
"September 1, 2025",Amritsar,5
"September 1, 2025",Vadodara,2
"September 1, 2025",Shillong,2
"September 1, 2025",Muzaffarpur,2
"September 1, 2025",Sangli,2
"September 1, 2025",Khanna,2
"September 1, 2025",Imphal,2
"September 1, 2025",Surat,1
"September 1, 2025",Latur,1
